PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
41411,697400000,2021,1,2,6,48,40,247,23.386412,-20.505768,-34.733929,33.97369258,-117.7738426,347.174662,0.031235,-0.476162,-0.131087
41412,699900000,2021,1,2,6,48,40,247,23.297705,-20.494898,-34.789043,33.97369257,-117.7738426,347.174334,0.031227,-0.475605,-0.130531
41413,702400000,2021,1,2,6,48,40,247,23.201694,-20.48525,-34.843193,33.97369256,-117.7738426,347.174008,0.031049,-0.475201,-0.130189
41414,704900000,2021,1,2,6,48,40,247,23.096466,-20.476685,-34.895401,33.97369255,-117.7738426,347.173683,0.031069,-0.474763,-0.129826
41415,707400000,2021,1,2,6,48,40,247,22.984034,-20.469213,-34.946095,33.97369254,-117.7738426,347.173359,0.031217,-0.474176,-0.12952
41416,709900000,2021,1,2,6,48,40,247,22.86661,-20.462263,-34.995575,33.97369253,-117.7738426,347.170581,0.031681,-0.473185,-0.130093
41417,712400000,2021,1,2,6,48,40,247,22.745487,-20.456556,-35.044056,33.97369252,-117.7738426,347.170256,0.031758,-0.47275,-0.12982
41418,714900000,2021,1,2,6,48,40,247,22.622643,-20.451582,-35.090462,33.97369251,-117.7738426,347.169932,0.031756,-0.472486,-0.129559
41419,717400000,2021,1,2,6,48,40,247,22.500065,-20.447266,-35.136459,33.9736925,-117.7738426,347.169608,0.031567,-0.47237,-0.129304
41420,719900000,2021,1,2,6,48,40,247,22.379107,-20.442375,-35.18269,33.97369249,-117.7738426,347.169285,0.03173,-0.471777,-0.129099
41421,722400000,2021,1,2,6,48,40,247,22.260874,-20.439356,-35.227364,33.97369248,-117.7738426,347.168962,0.031286,-0.471811,-0.128909
41422,724900000,2021,1,2,6,48,40,247,22.144501,-20.436687,-35.272942,33.97369247,-117.7738426,347.16864,0.030792,-0.471783,-0.128775
